,fo_place_code,fo_age,air_temp_dev,wind_speed_dev,wind_dir_dev,cloud_dev,pressure_dev,humidity_dev,precipit_dev
0,vilnius,1,1.86,1.4,34.2,14.9,2.7,5.8,0.2
1,klaipeda,3,2.45,2.0,36.4,16.1,2.6,7.4,0.5
2,neringa-nida,6,5.75,4.8,54.0,37.4,11.3,8.7,0.7
3,neringa-nida,1,3.04,3.6,33.9,15.5,2.4,6.7,0.2
4,silute,2,2.35,1.7,36.6,15.5,2.3,6.9,0.2
5,neringa-nida,2,3.18,3.6,38.5,16.9,2.5,6.6,0.2
6,birzai,0,3.13,0.9,18.9,9.1,2.7,4.4,0.0
7,klaipeda,5,3.47,2.0,50.1,28.2,6.7,8.7,0.4
8,neringa-nida,3,3.31,4.5,36.1,15.5,2.7,5.7,0.4
9,vilnius,5,5.46,1.5,68.7,31.2,8.0,9.2,0.4
10,varena,0,2.64,0.8,22.0,7.2,3.0,3.5,0.0
11,birzai,1,2.89,0.9,19.1,5.3,2.7,3.9,0.0
12,klaipeda,6,6.33,2.1,58.9,35.7,10.9,11.1,0.5
13,kaunas,7,10.05,2.1,71.9,39.3,6.7,9.7,0.7
14,silute,0,2.25,1.7,26.2,12.6,2.2,6.4,0.2
15,utena,1,3.04,0.9,26.7,6.1,3.6,4.0,0.0
16,klaipeda,1,2.43,1.9,31.5,17.0,2.3,6.4,0.2
17,silute,6,6.67,1.9,58.1,37.4,11.2,14.1,0.7
18,vilnius,4,3.73,1.6,52.2,24.2,4.8,10.0,0.4
19,vilnius,7,11.14,2.2,69.6,54.4,6.9,11.8,0.7
20,kaunas,0,1.79,1.4,25.3,12.3,2.0,5.9,0.2
21,kaunas,4,2.61,1.5,52.0,22.2,4.1,9.8,0.3
22,kaunas,1,1.89,1.4,32.6,16.6,2.0,6.1,0.1
23,silute,3,2.41,1.5,36.2,15.8,2.5,9.0,0.5
24,kaunas,3,2.1,1.4,34.7,15.5,2.4,10.0,0.4
25,klaipeda,4,2.42,2.2,42.1,18.2,3.6,7.8,0.4
26,neringa-nida,7,7.13,3.2,55.1,29.2,7.2,8.0,0.3
27,silute,4,2.44,1.5,41.4,16.5,3.8,10.0,0.5
28,silute,5,3.92,1.6,62.0,28.6,6.8,10.6,0.5
29,vilnius,0,1.73,1.4,27.0,11.8,2.6,5.6,0.2
30,kaunas,6,7.01,1.9,62.4,32.8,10.8,11.2,0.6
31,neringa-nida,0,2.91,3.6,28.0,13.1,2.4,6.7,0.2
32,vilnius,2,1.99,1.4,38.5,17.1,2.7,6.6,0.2
33,klaipeda,7,9.06,1.8,59.5,41.8,6.4,13.2,0.1
34,kaunas,2,1.96,1.4,37.0,17.8,2.1,6.6,0.2
35,vilnius,6,7.79,1.9,75.1,40.3,10.6,11.7,0.5
36,silute,1,2.33,1.8,32.0,14.4,2.2,6.5,0.2
37,neringa-nida,4,3.16,5.0,43.4,17.1,3.9,6.3,0.4
38,neringa-nida,5,3.89,4.9,65.2,28.5,6.9,7.8,0.3
39,klaipeda,0,2.36,2.0,26.6,14.4,2.5,6.5,0.2
40,utena,0,3.13,0.9,26.0,7.5,3.7,4.8,0.0
41,silute,7,9.24,1.9,65.8,35.7,6.7,16.1,0.3
42,vilnius,3,2.6,1.5,35.4,14.1,3.1,11.0,0.4
43,varena,1,2.64,0.8,23.8,6.0,3.1,3.5,0.0
44,kaunas,5,4.32,1.5,69.8,32.0,7.3,9.6,0.4
45,klaipeda,2,2.42,1.8,36.7,17.1,2.5,6.4,0.2
