code,name,administrativeDivision,countryCode
abromiskes,Abromiškės,Elektrėnų savivaldybė,LT
acokavai,Acokavai,Radviliškio rajono savivaldybė,LT
adakavas,Adakavas,Tauragės rajono savivaldybė,LT
adomyne,Adomynė,Kupiškio rajono savivaldybė,LT
adutiskis,Adutiškis,Švenčionių rajono savivaldybė,LT
agluonai,Agluonai,Akmenės rajono savivaldybė,LT
agluonenai,Agluonėnai,Klaipėdos rajono savivaldybė,LT
aistiskiai,Aistiškiai,Kalvarijos savivaldybė,LT
aizkraukle,Aizkraukle,Aizkraukles novads,LV
akademija,Akademija,Kauno rajono savivaldybė,LT
akademija-2,Akademija,Kėdainių rajono savivaldybė,LT
aklasis-ezeras,Aklasis Ežeras,Jonavos rajono savivaldybė,LT
akmene,Akmenė,Akmenės rajono savivaldybė,LT
akmene-ii,Akmenė II,Akmenės rajono savivaldybė,LT
akmene-iii,Akmenė III,Akmenės rajono savivaldybė,LT
akmeniskes,Akmeniškės,Vilniaus rajono savivaldybė,LT
akmenynai,Akmenynai,Kalvarijos savivaldybė,LT
akmenyne,Akmenynė,Šalčininkų rajono savivaldybė,LT
aknystos,Aknystos,Anykščių rajono savivaldybė,LT
akstinai,Akstinai,Raseinių rajono savivaldybė,LT
akuotai,Akuotai,Kauno rajono savivaldybė,LT
alanta,Alanta,Molėtų rajono savivaldybė,LT
aleksandravas,Aleksandravas,Plungės rajono savivaldybė,LT
aleksandravele,Aleksandravėlė,Rokiškio rajono savivaldybė,LT
aleksandrija,Aleksandrija,Skuodo rajono savivaldybė,LT
aleksandrija-2,Aleksandrija,Šiaulių rajono savivaldybė,LT
aleksandrija-3,Aleksandrija,Kupiškio rajono savivaldybė,LT
alesninkai,Alesninkai,Elektrėnų savivaldybė,LT
alionys-i,Alionys I,Širvintų rajono savivaldybė,LT
alizava,Alizava,Kupiškio rajono savivaldybė,LT
alkiskiai,Alkiškiai,Akmenės rajono savivaldybė,LT
